"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","16-Feb-2022","       2417.95","       2430.00","       2433.00","       2395.95","       2407.65","       2412.95","       2417.77","    4796294","         11596325561.15","     190438","    2607957","         54.37"
"RELIANCE","EQ","17-Feb-2022","       2412.95","       2420.10","       2454.90","       2410.00","       2441.00","       2443.50","       2439.61","    5931774","         14471212589.25","     211881","    2872619","         48.43"
"RELIANCE","EQ","18-Feb-2022","       2443.50","       2444.40","       2456.40","       2420.15","       2427.30","       2424.40","       2440.25","    3126873","          7630367399.75","     158691","    1216161","         38.89"
"RELIANCE","EQ","21-Feb-2022","       2424.40","       2412.00","       2437.50","       2384.60","       2399.60","       2399.90","       2409.12","    5125968","         12349078484.55","     226214","    2888548","         56.35"
"RELIANCE","EQ","22-Feb-2022","       2399.90","       2352.90","       2395.90","       2347.15","       2389.75","       2389.00","       2372.16","    6227901","         14773584971.00","     197401","    3920789","         62.96"
"RELIANCE","EQ","23-Feb-2022","       2389.00","       2401.10","       2406.55","       2368.00","       2371.25","       2374.05","       2391.23","    3373615","          8067102258.45","     195350","    1928054","         57.15"
"RELIANCE","EQ","24-Feb-2022","       2374.05","       2305.00","       2339.90","       2243.40","       2250.00","       2255.75","       2291.15","   11466725","         26272008237.55","     493459","    7266877","         63.37"
"RELIANCE","EQ","25-Feb-2022","       2255.75","       2280.10","       2307.95","       2276.25","       2283.00","       2283.95","       2290.84","    6724094","         15403844188.65","     281047","    3670287","         54.58"
"RELIANCE","EQ","28-Feb-2022","       2283.95","       2243.00","       2367.35","       2243.00","       2355.00","       2359.55","       2328.64","    9828768","         22887683561.40","     240020","    5321030","         54.14"
"RELIANCE","EQ","02-Mar-2022","       2359.55","       2334.45","       2401.00","       2329.20","       2399.25","       2398.55","       2376.69","    9909226","         23551157613.65","     309328","    6277829","         63.35"
"RELIANCE","EQ","03-Mar-2022","       2398.55","       2400.00","       2414.85","       2370.05","       2382.00","       2378.30","       2392.27","    4701183","         11246476348.75","     230143","    2479449","         52.74"
"RELIANCE","EQ","04-Mar-2022","       2378.30","       2353.00","       2364.30","       2320.35","       2327.95","       2325.55","       2338.20","    4986814","         11660149352.95","     219860","    2754095","         55.23"
"RELIANCE","EQ","07-Mar-2022","       2325.55","       2278.70","       2312.10","       2222.00","       2240.05","       2239.55","       2256.84","    8299295","         18730168161.15","     372828","    4962748","         59.80"
"RELIANCE","EQ","08-Mar-2022","       2239.55","       2211.50","       2246.00","       2180.00","       2235.05","       2235.50","       2220.15","    9825043","         21813021864.70","     428117","    5602260","         57.02"
"RELIANCE","EQ","09-Mar-2022","       2235.50","       2236.00","       2367.00","       2234.15","       2358.30","       2354.10","       2316.35","    9421163","         21822706477.90","     325395","    4647153","         49.33"
"RELIANCE","EQ","10-Mar-2022","       2354.10","       2400.00","       2405.00","       2360.00","       2387.00","       2392.25","       2386.79","    8297995","         19805599252.70","     278083","    4102149","         49.44"
"RELIANCE","EQ","11-Mar-2022","       2392.25","       2376.05","       2411.00","       2376.05","       2393.15","       2399.15","       2396.11","    5656799","         13554290818.70","     199494","    3028604","         53.54"
"RELIANCE","EQ","14-Mar-2022","       2399.15","       2386.90","       2424.40","       2374.00","       2422.20","       2418.85","       2401.52","    3849222","          9243998854.25","     160500","    1800381","         46.77"
"RELIANCE","EQ","15-Mar-2022","       2418.85","       2427.95","       2427.95","       2340.85","       2362.00","       2363.45","       2386.09","    7349740","         17537136611.95","     257511","    3924279","         53.39"
"RELIANCE","EQ","16-Mar-2022","       2363.45","       2382.00","       2407.90","       2377.10","       2401.50","       2403.35","       2396.17","    5145644","         12329854279.30","     185464","    2824434","         54.89"
"RELIANCE","EQ","17-Mar-2022","       2403.35","       2432.75","       2497.40","       2415.10","       2487.50","       2481.70","       2456.66","    9886295","         24287296550.40","     274442","    5961590","         60.30"
